S.no,Hashtag,Posts,Comments,Likes
1,love,1212163650,115.44444444444444,4967.666666666667
2,friend,47119175,44.111111111111114,6833.222222222223
3,beach,168603835,11.555555555555555,893.6666666666666
4,family,242155953,18.77777777777778,813.5555555555555
5,yellow,29176748,59.111111111111114,3473.4444444444443
6,girl,281057306,25.444444444444443,418.1111111111111
7,fashion,455383628,35.77777777777778,1485.3333333333333
8,nike,64011478,219.55555555555554,8118.444444444444
9,snow,60306311,78.77777777777777,6853.555555555556
10,happy,410288134,46.44444444444444,2416.777777777778
11,bored,53050925,40.22222222222222,2760.5555555555557
12,school,36001219,23.11111111111111,1238.7777777777778
13,beautiful,442563826,9.333333333333334,648.0
14,tired,28314049,16.22222222222222,451.0
15,black,100236554,39.77777777777778,3859.1111111111113
16,sun,175495934,30.77777777777778,1871.5555555555557
17,selfie,327759150,4.888888888888889,103.11111111111111
18,instagood,697858970,247.55555555555554,1402.111111111111
19,nature,284292162,21.77777777777778,642.5555555555555
20,smile,257225596,96.55555555555556,2849.5555555555557
21,spring,72332879,17.88888888888889,2486.5555555555557
22,makeup,152383849,19.0,472.77777777777777
23,home,90844775,38.44444444444444,2754.777777777778
24,model,130669639,82.22222222222223,1245.5555555555557
25,throwback,83049085,118.66666666666667,18577.666666666668
26,loveyou,36676069,26.444444444444443,2862.222222222222
27,cute,402692234,38.333333333333336,2113.1111111111113
28,green,77792990,73.11111111111111,1990.3333333333333
29,truth,41244836,21.22222222222222,910.4444444444445
30,yummy,106606588,106.83333333333333,7451.333333333333
31,boyfriend,35273537,13.666666666666666,677.5555555555555
32,goodtimes,52426224,53.22222222222222,5909.666666666667
33,sea,87804626,15.0,753.5555555555555
34,beauty,209467630,7.111111111111111,419.55555555555554
35,instafood,102539465,34.111111111111114,2236.1111111111113
36,funny,112041140,12.777777777777779,695.1111111111111
37,cake,52801717,25.444444444444443,968.5555555555555
38,dog,157650939,68.33333333333333,3509.0
39,drunk,18338207,151.88888888888889,4879.444444444444
40,old,24831591,26.22222222222222,2280.1111111111113
41,flower,57023359,19.22222222222222,721.7777777777778
42,hair,139264440,18.0,1127.0
43,friday,53101052,16.88888888888889,682.1111111111111
44,fun,276015012,65.44444444444444,941.6666666666666
45,white,71018599,11.777777777777779,493.0
46,art,316693783,25.0,1593.4444444444443
47,tree,40154369,34.22222222222222,2394.777777777778
48,cool,121470318,184.88888888888889,4371.666666666667
49,red,84230765,35.22222222222222,3140.0
50,food,251475390,32.111111111111114,1253.0
51,photooftheday,480562521,29.555555555555557,2956.4444444444443
52,tattoo,80566353,30.77777777777778,530.1111111111111
53,new,75550068,42.77777777777778,5333.222222222223
54,boy,69631081,104.77777777777777,3459.6666666666665
55,justinbieber,31896168,29.444444444444443,1639.7777777777778
56,picoftheday,360878917,380.44444444444446,18315.555555555555
57,awesome,77705163,9.0,469.22222222222223
58,life,210169428,96.33333333333333,4177.555555555556
59,likeforlike,242486025,14.666666666666666,1289.3333333333333
60,instagram,195146428,86.0,3730.0
62,shoe,4424530,22.88888888888889,2103.6666666666665
62,shoe,4424530,22.88888888888889,2104.4444444444443
62,shoe,4424530,22.88888888888889,2108.0
61,style,266888450,42.44444444444444,2404.222222222222
62,shoe,4424532,22.88888888888889,2109.777777777778
66,instadaily,309797239,12.222222222222221,395.55555555555554
67,photography,188209505,9.555555555555555,445.22222222222223
68,amazing,203770847,17.333333333333332,1044.2222222222222
69,instalike,250707757,0.8888888888888888,28.22222222222222
70,follow,356131259,1.5555555555555556,31.22222222222222
71,blue,98781768,11.222222222222221,700.4444444444445
72,heart,30157474,43.333333333333336,2600.3333333333335
73,eye,9745454,72.88888888888889,4589.222222222223
74,summer,320161934,5.666666666666667,225.88888888888889
75,foodporn,144864768,55.111111111111114,2624.6666666666665
76,photo,177213642,37.111111111111114,3497.777777777778
77,party,121621062,35.22222222222222,2401.4444444444443
78,sky,158079158,149.44444444444446,8468.666666666666
79,yum,65100911,45.0,1933.0
80,vscocam,178303225,61.44444444444444,9547.888888888889
81,vsco,155937471,13.777777777777779,588.1111111111111
82,weekend,82717711,188.66666666666666,13695.888888888889
83,music,173597754,9.11111111111111,373.6666666666667
84,blackandwhite,95963766,21.0,1278.5555555555557
85,sunset,158373965,13.444444444444445,1351.111111111111
86,night,107772743,41.111111111111114,5511.777777777777
87,adidas,38444721,175.44444444444446,7089.666666666667
88,pink,99550200,13.11111111111111,477.55555555555554
89,fitness,236826843,36.666666666666664,1124.111111111111
90,instapic,112401171,7.111111111111111,542.4444444444445
91,sunday,74294111,25.666666666666668,1281.0
92,holiday,90736672,277.1111111111111,5767.777777777777
93,birthday,82931307,31.444444444444443,3235.0
94,lol,116323655,7.666666666666667,717.5555555555555
95,ootd,160731011,46.22222222222222,3045.5555555555557
96,instamood,0,7.166666666666667,323.8888888888889
97,colorful,55811154,17.77777777777778,475.77777777777777
99,design,114111416,50.666666666666664,4306.0
100,work,98069781,312.55555555555554,12208.888888888889
101,igdaily,72663217,2.2222222222222223,43.77777777777778
102,happiness,82924580,173.66666666666666,4682.555555555556
103,foodie,77345779,65.66666666666667,4123.222222222223
104,mountain,21460703,70.66666666666667,6072.333333333333
105,color,52808608,112.77777777777777,3078.8888888888887
106,baby,121850800,73.66666666666667,5930.0
107,nofilter,212537942,56.22222222222222,6028.777777777777
108,repost,294165573,13.11111111111111,1538.2222222222222
109,igers,219860804,2.4444444444444446,58.111111111111114
110,saturday,49938339,17.333333333333332,1868.111111111111
111,morning,78144463,20.22222222222222,327.8888888888889
112,dogsofinstagram,84149748,198.0,11937.555555555555
113,delicious,72146794,45.333333333333336,3063.0
114,goodmorning,86322909,16.444444444444443,652.4444444444445
115,drink,22374527,91.22222222222223,1216.5555555555557
116,landscape,74296823,32.333333333333336,2540.8888888888887
117,cat,131883624,46.22222222222222,1804.5555555555557
118,tbt,400383164,63.111111111111114,2069.6666666666665
119,healthy,111301529,10.777777777777779,363.77777777777777
120,pretty,137435120,7.0,409.77777777777777
121,cloud,14581265,48.111111111111114,1349.2222222222222
122,nice,74037429,37.22222222222222,2033.5555555555557
123,quote,46510145,98.66666666666667,3878.0
124,snapchat,0,33.0,970.3888888888889
125,goodnight,56383708,87.88888888888889,8535.555555555555
126,sneaker,7006028,44.333333333333336,1714.5555555555557
127,winter,84048014,144.77777777777777,4367.111111111111
128,loveit,64878962,58.0,4727.555555555556
129,sister,42291886,26.666666666666668,667.7777777777778
130,wedding,101902525,66.0,6013.0
131,vintage,64139978,14.88888888888889,843.2222222222222
132,lovely,47685604,12.444444444444445,585.0
134,day,64373514,18.555555555555557,1209.0
135,puppy,80321792,664.2222222222222,23166.11111111111
136,coffee,80929523,32.333333333333336,2495.777777777778
137,ocean,41037122,48.666666666666664,5410.222222222223
138,drawing,95624453,15.0,970.1111111111111
139,monday,32526271,40.44444444444444,1196.2222222222222
140,april,5420406,11.11111111111111,376.22222222222223
141,followforfollow,168390650,6.888888888888889,79.0
142,japan,73817336,50.111111111111114,3742.4444444444443
143,sexy,0,20.11111111111111,746.4444444444445
144,hot,104492279,51.77777777777778,2282.6666666666665
145,trip,68688527,15.0,426.8888888888889
146,memory,5468923,48.111111111111114,2373.3333333333335
147,lifestyle,107047555,16.77777777777778,584.8888888888889
148,handmade,102412449,27.11111111111111,558.2222222222222
149,polishgirl,35039235,26.11111111111111,522.0
150,italy,72579208,32.0,1037.0
151,motivation,126074820,77.66666666666667,3306.1111111111113
152,blonde,46596794,240.44444444444446,9610.666666666666
153,dinner,73651660,16.333333333333332,486.0
154,chocolate,54888465,99.33333333333333,2316.3333333333335
155,artist,78618688,13.777777777777779,794.3333333333334
156,selenagomez,19954688,29.666666666666668,3647.4444444444443
157,relax,72507992,59.22222222222222,5978.0
158,ink,41294509,9.11111111111111,448.77777777777777
159,gay,49218943,4.888888888888889,808.7777777777778
160,pet,54132488,61.77777777777778,3370.0
161,inspiration,92436121,361.3333333333333,13989.222222222223
162,instacool,87105665,3.6666666666666665,127.0
163,vacation,70183859,38.0,3186.6666666666665
164,kid,9843826,41.666666666666664,1851.888888888889
167,sunshine,46615594,37.77777777777778,2856.5555555555557
168,car,41723739,71.55555555555556,2211.4444444444443
171,shopping,77044879,85.66666666666667,4029.0
172,photographer,72156308,14.555555555555555,338.55555555555554
173,peace,53575185,49.111111111111114,2008.7777777777778
