2018-03-21 04:56:43,BondsMakayla,"RT @soaphia_: if you need a therapist to talk to or just a shoulder to lean on, my mom’s office is open to all. please share this info so p…"
2018-03-21 04:55:45,tryinntryin,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:55:29,abranflake,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:51:13,stantonroseman,"Hey @WatchSavannah and @GadiNBC, your #StayTuned channel on Snapchat covers gun control ... a lot! Have you conside… https://t.co/pa9Xo1spx4"
2018-03-21 04:50:31,CamiP934,RT @LawAndLogic1: Gun control saved lives in #GreatMills today. Because the armed school resource officer used both hands and squeezed the…
2018-03-21 04:49:16,realBethNeale,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:48:03,irenerusso124,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:45:32,invisiblefatman,"RT @Luwanda4MD: My heart is grieving for the victims of #GreatMills. While details are still coming in, the fact that the shooter had a pri…"
2018-03-21 04:41:58,Artanis71,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:41:29,frightenedvoter,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:40:38,BancheroMedia,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:40:26,cathryneoden,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:39:50,JoergBS,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:38:54,tomszawacki,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:38:22,FreeLass2,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:35:49,antonia4347,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:35:09,nalacallie,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:34:39,Selinasyfy,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:32:51,Unkle_Ken,"RT @SuckMyLEFTJuan: #Maryland High School Shooting:
• There has been a shooting at #GreatMillsHighSchool in #GreatMills, Maryland
• The hig…"
2018-03-21 04:31:32,_adrianaaro,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:30:29,dhudson58,"RT @DrDinD: Please note that school resource officers (SRO) are trained law enforcement officers deployed by local police departments, are…"
2018-03-21 04:29:37,joeyd541,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:29:13,MarkDavidAnder9,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:27:21,tullyframe,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:26:18,ivannaabonillaa,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:25:59,Cj112Connie,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
