969702123284856833 2018-03-02 22:32:57 UTC <NRA> He has a point, why work in a position when you can not purchase what you are selling. #2A #DefendtheSecondhttp://ms.spr.ly/6014r0VxK 
969683995632992256 2018-03-02 21:20:55 UTC <NRA> As if we needed another reason though... all they want to do it push an Australia like ban. #NoThanks #DefendTheSecond #2A #NRAhttp://ms.spr.ly/6015r0VUR 
969657090624114690 2018-03-02 19:34:00 UTC <NRA> "Progressive policy prescriptions, like assault-weapons bans and bans on large-capacity magazines, are opposed because they’re perceived to have exactly the wrong effect."  They don't stop criminals from getting their hands on a gun.http://ms.spr.ly/6012r0VXo 
969645010361704449 2018-03-02 18:46:00 UTC <NRA> #GoodRead The assault weapons ban didn't work. A new version won't, either #DefendtheSecond #2A #NRAhttp://ms.spr.ly/6010r0VXj 
969633410351292416 2018-03-02 17:59:54 UTC <NRA> For a benefit that only 13 people ever used (per reports), they have a backlash that will span across all gun owners, not just #NRA members.. seems logicalhttp://ms.spr.ly/6016r0Vnw 
969618342775533569 2018-03-02 17:00:02 UTC <NRA> Every firearms owner has a story on why they purchased their first firearm. For some it was for self-defense, some for hunting, or for others, it was for the simple joy of going to the range and hearing plinking on steel. What about you?pic.twitter.com/oKyLNH7v1E
969598919083687937 2018-03-02 15:42:51 UTC <NRA> According to a new Morning Consult/Politico poll, half of registered voters agree with @POTUS  on arming teachershttp://ms.spr.ly/6016r0phg 
969319365010128899 2018-03-01 21:12:00 UTC <NRA> Contrary to popular belief, the NRA saves lives with its programs and trainings...  #DefendtheSecond #2A #NRAhttp://ms.spr.ly/6011r0TcD 
969303006922625024 2018-03-01 20:07:00 UTC <NRA> #ICYMI Fact checking the fact checker: NRA's Support for the National Instant Criminal Background System #NRAhttp://ms.spr.ly/6013r0Tdv 
969286134168784897 2018-03-01 18:59:57 UTC <NRA> "The thing to remember is that these are extremely rare events, and no matter what you can come up with to prevent it, the shooter will have a workaround,"http://ms.spr.ly/6019r0Td3 
969273417517158401 2018-03-01 18:09:25 UTC <NRA> A look back over the last few years proves that the talking point "Man or Woman With a Pistol Can't Take Out an Assailant With an AR-15" is total nonsense. #DefendTheSecond #2A #NRAhttp://ms.spr.ly/6010r0Tkk 
