,time,screen_name,text,cumulative_tweets
17959,2018-03-23 16:13:26,thewouster,Time to roll out the #PrayFor Virtue Wagon again?  #Trebes,1.0
17957,2018-03-23 16:13:33,Nuclear_jelly47,"RT @OliMauritania: ISIS terrorist shoots at hostages and French police
-France has strictest gun laws
-French citizens have no 2nd amendmen…",2.0
17955,2018-03-23 16:13:34,bhawanaDasi2002,RT @Rani99539134: #KartiChidambaram and #ஸ்டாலின்_பழமொழிகள Do you know that Mullah and Kanji and all this Pandit Pardhan are fooling us all…,3.0
17956,2018-03-23 16:13:34,sbalcerac,Innocent people are dying in France because of the incompetent leftist government of @EmmanuelMacron What was a 26-… https://t.co/va277Yuvz5,4.0
17954,2018-03-23 16:13:38,fpbfpb1,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",5.0
17952,2018-03-23 16:13:40,JamieBu76305053,"RT @BBCBreaking: At least one person feared dead after gunman ""claiming IS allegiance"" takes hostages at #Trèbes supermarket in France http…",6.0
17949,2018-03-23 16:13:50,Niessa1,RT @kimwillsher1: #trèbes French police and gendarmes have been specific targets for Islamic terrorists in recent times which makes the Lt…,7.0
17947,2018-03-23 16:13:56,nickizeri,Brave French policeman exchanges himself to free hostages taken by terrorist. #Trèbes https://t.co/tPHgxrDpen,8.0
17946,2018-03-23 16:13:56,thedemureshark,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,9.0
17944,2018-03-23 16:14:08,BallybunionBog,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",10.0
17940,2018-03-23 16:14:21,ManyuVishwakar1,"RT @CGTNOfficial: #BREAKING Police launch raid on supermarket in #Trebes, southern #France; hostage taker shot, according to BFM TV https:/…",11.0
17939,2018-03-23 16:14:25,doreli12,"RT @BBCBreaking: ""Everything leads us to believe it is a terror attack"" - French President Emmanuel Macron on ongoing #Trèbes hostage situa…",12.0
17938,2018-03-23 16:14:29,oaksbenny,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",13.0
17937,2018-03-23 16:14:32,Scoots_n_Boots,"RT @davidchazan: Heroic French gendarme took place of female hostage in #Trèbes attack claimed by IS. Shot in the throat, he is in serious…",14.0
17935,2018-03-23 16:14:33,LollllllaJR,"RT @IsraelMFA: Horrifying news from #Trèbes. Israel firmly stands with #France in the fight against terror.

We send our prayers for the sa…",15.0
17936,2018-03-23 16:14:33,HagestOuraya,"Rotten world, rotten adults #Trèbes",16.0
17934,2018-03-23 16:14:44,Sandeepdass18,RT @Rani99539134: #KartiChidambaram and #ஸ்டாலின்_பழமொழிகள Do you know that Mullah and Kanji and all this Pandit Pardhan are fooling us all…,17.0
17933,2018-03-23 16:14:51,kkabbasi,RT @CatherineField: French media reports 45 year old Lieutenant-colonel #Gendarme who swapped places with #hostage and remained inside #Trè…,18.0
17932,2018-03-23 16:15:07,ASU_IRLS,"Two people have been killed &amp; others taken hostage at a supermarket in #Trebes, #France this morning, in an attack… https://t.co/x1SNAgAnU0",19.0
17931,2018-03-23 16:15:10,dharmpaldass2,RT @Rani99539134: #KartiChidambaram and #ஸ்டாலின்_பழமொழிகள Do you know that Mullah and Kanji and all this Pandit Pardhan are fooling us all…,20.0
17929,2018-03-23 16:15:24,AnneCLindsay,"RT @BBCBreaking: ""Everything leads us to believe it is a terror attack"" - French President Emmanuel Macron on ongoing #Trèbes hostage situa…",21.0
17928,2018-03-23 16:15:38,WennboLena,"RT @Dr_E_Kendall: Regarding today's terror attack in #Carcassonne &amp; #Trebes, remember ""foreign"" fighters don't always distinguish neatly be…",22.0
17926,2018-03-23 16:15:40,LWennbo,"RT @Dr_E_Kendall: Regarding today's terror attack in #Carcassonne &amp; #Trebes, remember ""foreign"" fighters don't always distinguish neatly be…",23.0
17925,2018-03-23 16:15:42,999Leviatan,"RT @riyasharma266: Dear France people, When you voted for a president who openly declares during his campaign that “we have to get used to…",24.0
17923,2018-03-23 16:15:49,lenababou,"RT @James_Taylor78: A gunman is holding several people hostage in a supermarket in #Trèbes, in the south of #France. French media say the m…",25.0
17922,2018-03-23 16:15:52,Newsbeat1,"RT @AmirTaheri4: The Moroccan terrorist in attack in #Trebes, France, today was known to police for his connection with Islmaic State. Yet…",26.0
17921,2018-03-23 16:16:00,mukeshmeena_das,RT @Rani99539134: #KartiChidambaram and #ஸ்டாலின்_பழமொழிகள Do you know that Mullah and Kanji and all this Pandit Pardhan are fooling us all…,27.0
17920,2018-03-23 16:16:09,2015gardener,"RT @LVNancy: ISIS-aligned gunman takes hostages &amp; kills 2 #Trebes 

#France outlawed guns 
... someone forgot to tell the criminal tho 🤨

P…",28.0
